ID,SMILES_480,Fluorescence480,SMILES_340,Fluorescence340_450,SMILES,Transmittance450,SMILES_t340,Transmittance340
1685,CC(C)CN1C2=NN=C(SCC(N)=O)N2C2=CC(=CC=C2C1=O)C(=O)NC(C)C,0,CC(C)CN1C2=NN=C(SCC(N)=O)N2C2=CC(=CC=C2C1=O)C(=O)NC(C)C,0,CC(C)CN1C2=NN=C(SCC(N)=O)N2C2=CC(=CC=C2C1=O)C(=O)NC(C)C,0,CC(C)CN1C2=NN=C(SCC(N)=O)N2C2=CC(=CC=C2C1=O)C(=O)NC(C)C,0
7489,CO[C@@H]1CCOC[C@H]1NC(=O)C1=C(Cl)C2=CC=CC=C2N1,0,CO[C@@H]1CCOC[C@H]1NC(=O)C1=C(Cl)C2=CC=CC=C2N1,1,CO[C@@H]1CCOC[C@H]1NC(=O)C1=C(Cl)C2=CC=CC=C2N1,0,CO[C@@H]1CCOC[C@H]1NC(=O)C1=C(Cl)C2=CC=CC=C2N1,0
13712,CC1=CC=CC(NS(=O)(=O)C2=CC=CC3=CC=CN=C23)=C1,0,CC1=CC=CC(NS(=O)(=O)C2=CC=CC3=CC=CN=C23)=C1,0,CC1=CC=CC(NS(=O)(=O)C2=CC=CC3=CC=CN=C23)=C1,0,CC1=CC=CC(NS(=O)(=O)C2=CC=CC3=CC=CN=C23)=C1,0
25450,COC1=CC=C(C=C1OC)S(=O)(=O)N1CCN(CC1)C1=NN(C(=O)C=C1)C1=CC=C(C)C=C1,0,COC1=CC=C(C=C1OC)S(=O)(=O)N1CCN(CC1)C1=NN(C(=O)C=C1)C1=CC=C(C)C=C1,1,COC1=CC=C(C=C1OC)S(=O)(=O)N1CCN(CC1)C1=NN(C(=O)C=C1)C1=CC=C(C)C=C1,0,COC1=CC=C(C=C1OC)S(=O)(=O)N1CCN(CC1)C1=NN(C(=O)C=C1)C1=CC=C(C)C=C1,0
30765,COCCN1N=CC(=CC1=O)N1CCC(C1)C(=O)NCC1=CC=C(F)C=C1,0,COCCN1N=CC(=CC1=O)N1CCC(C1)C(=O)NCC1=CC=C(F)C=C1,0,COCCN1N=CC(=CC1=O)N1CCC(C1)C(=O)NCC1=CC=C(F)C=C1,0,COCCN1N=CC(=CC1=O)N1CCC(C1)C(=O)NCC1=CC=C(F)C=C1,0
32858,COC1=CC=C(C=C1)C1(CC1)C(=O)N1CC2(C1)CC(C)(O)CO2,0,COC1=CC=C(C=C1)C1(CC1)C(=O)N1CC2(C1)CC(C)(O)CO2,0,COC1=CC=C(C=C1)C1(CC1)C(=O)N1CC2(C1)CC(C)(O)CO2,0,COC1=CC=C(C=C1)C1(CC1)C(=O)N1CC2(C1)CC(C)(O)CO2,0
46684,COC1=C2NN=C(C(=O)N3CCCO[C@@H](CF)C3)C2=CC=C1,0,COC1=C2NN=C(C(=O)N3CCCO[C@@H](CF)C3)C2=CC=C1,1,COC1=C2NN=C(C(=O)N3CCCO[C@@H](CF)C3)C2=CC=C1,0,COC1=C2NN=C(C(=O)N3CCCO[C@@H](CF)C3)C2=CC=C1,0
61197,C[C@H](NC(=O)C1CCN(CC1)S(C)(=O)=O)C1=CC=C2OCCCOC2=C1,0,C[C@H](NC(=O)C1CCN(CC1)S(C)(=O)=O)C1=CC=C2OCCCOC2=C1,0,C[C@H](NC(=O)C1CCN(CC1)S(C)(=O)=O)C1=CC=C2OCCCOC2=C1,0,C[C@H](NC(=O)C1CCN(CC1)S(C)(=O)=O)C1=CC=C2OCCCOC2=C1,0
75327,COC1=CC=C(OC)C(=C1)C(=O)N1CCC(CC1)C1=CNC2=NC=CC=C12,0,COC1=CC=C(OC)C(=C1)C(=O)N1CCC(CC1)C1=CNC2=NC=CC=C12,1,COC1=CC=C(OC)C(=C1)C(=O)N1CCC(CC1)C1=CNC2=NC=CC=C12,0,COC1=CC=C(OC)C(=C1)C(=O)N1CCC(CC1)C1=CNC2=NC=CC=C12,0
82419,CC(C)OC1=CC=C(C=N1)C(=O)NC[C@H](N(C)C)C1=CC=CS1,0,CC(C)OC1=CC=C(C=N1)C(=O)NC[C@H](N(C)C)C1=CC=CS1,0,CC(C)OC1=CC=C(C=N1)C(=O)NC[C@H](N(C)C)C1=CC=CS1,0,CC(C)OC1=CC=C(C=N1)C(=O)NC[C@H](N(C)C)C1=CC=CS1,0
